Dataset,Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Avg Precision,TN,FP,FN,TP,FP Rate,Time (s)
UNSW-NB15,RandomForestClassifier,0.9089473684210526,0.9664666721459686,0.8646323529411765,0.9127178173632942,0.9766056869369371,0.9824195098918327,10692,408,1841,11759,0.036756756756756756,1.8620564937591553
UNSW-NB15,XGBClassifier,0.9068825910931174,0.9608482871125612,0.8661764705882353,0.9110595514307811,0.9755408485691573,0.9812742026723681,10620,480,1820,11780,0.043243243243243246,0.25697922706604004
UNSW-NB15,DecisionTreeClassifier,0.8816194331983805,0.9513019952654718,0.8273529411764706,0.8850086518798175,0.9579655107313195,0.9573473139606179,10524,576,2348,11252,0.05189189189189189,0.13093185424804688
UNSW-NB15,LogisticRegression,0.7422267206477733,0.7266119431042045,0.8526470588235294,0.7846002909435367,0.8313637586115528,0.8290462247665299,6737,4363,2004,11596,0.39306306306306305,2.615408420562744
UNSW-NB15,MLPClassifier,0.8344534412955465,0.922223208736571,0.76375,0.8355387523629489,0.9321236287758347,0.9452217508423626,10224,876,3213,10387,0.07891891891891892,3.9067625999450684
CICIDS2017,RandomForestClassifier,0.9869522948610803,0.9814502529510961,0.9926658707146512,0.987026201984228,0.9983523697864322,0.9983089859698518,28766,550,215,29100,0.01876108609632965,5.204941511154175
CICIDS2017,XGBClassifier,0.9681908887789736,0.9641214662518599,0.9725737676957189,0.9683291728225245,0.9960736290056998,0.9958614984490888,28255,1061,804,28511,0.03619184063310138,0.4885373115539551
CICIDS2017,DecisionTreeClassifier,0.9615220617079702,0.9512992428032956,0.9728466655295923,0.9619523054609236,0.9824039880263236,0.9709342516489207,27856,1460,796,28519,0.0498021558193478,0.34542250633239746
CICIDS2017,LogisticRegression,0.6339308556906755,0.696653977158886,0.4744328841889818,0.5644595060776396,0.7436364442741548,0.7111536257310622,23260,6056,15407,13908,0.20657661345340428,0.6181354522705078
CICIDS2017,MLPClassifier,0.9503504971772612,0.9376160169716256,0.9648985161180283,0.9510616478657767,0.986469847272489,0.9852893719958283,27434,1882,1029,28286,0.0641970255150771,10.713497877120972
DNS-Reflection-DDoS,RandomForestClassifier,0.9329089128305583,0.8856893542757417,0.9941234084231146,0.9367789570835257,0.9468751708729799,0.9086511665526467,890,131,6,1015,0.12830558276199805,0.3478236198425293
DNS-Reflection-DDoS,XGBClassifier,0.9338883447600391,0.8858885017421603,0.9960822722820764,0.9377593360995851,0.9455086666775386,0.9069574072897628,890,131,4,1017,0.12830558276199805,0.07626461982727051
DNS-Reflection-DDoS,DecisionTreeClassifier,0.9309500489715965,0.8852889667250438,0.990205680705191,0.9348127600554785,0.94564152791381,0.9050212755825978,890,131,10,1011,0.12830558276199805,0.014969348907470703
DNS-Reflection-DDoS,LogisticRegression,0.60871694417238,0.561529933481153,0.9921645445641528,0.7171681415929203,0.7885717273207788,0.7368935392629812,230,791,8,1013,0.7747306562193927,0.3074829578399658
DNS-Reflection-DDoS,MLPClassifier,0.6856023506366308,0.6151975683890577,0.9911851126346719,0.7591897974493623,0.7852794546645806,0.7349606222512012,388,633,9,1012,0.6199804113614104,0.40893983840942383
